Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,1.7,6.2,0,1.7,0,0
1,1,1,0,0,1.7,5.7,0,1.7,0,0
1,1,2,0,0,1.1,6.2,0,1.1,0,0
1,1,3,0,0,1.1,5.7,0,1.1,0,0
1,1,4,0,0,1.1,5.7,0,1.1,0,0
1,1,5,0,0,1.1,6.7,0,1.1,0,0
1,1,6,0,0,0.6,7.7,0,0.6,0,0
1,1,7,1,10,0.6,8.2,9.467,-0.332,227.764,84.491
1,1,8,38,67,0.6,6.2,70.631,0.543,1635.304,1464.929
1,1,9,544,85,0,7.7,285.055,3.259,6148.166,5872.683
1,1,10,252,171,1.1,6.2,310.238,5.549,7115.484,6813.859
1,1,11,648,116,1.1,5.2,527.749,10.308,11873.094,11424.322
1,1,12,688,93,2.2,5.7,564.436,11.875,12675.905,12199.261
1,1,13,645,84,2.8,8.8,525.133,9.53,11903.755,11453.935
1,1,14,516,66,2.8,7.7,392.337,8.128,8868.103,8515.861
1,1,15,247,39,2.2,6.7,179.937,4.401,4052.241,3829.027
1,1,16,7,5,1.1,6.7,7.382,0.201,169.604,27.392
1,1,17,0,0,0,7.7,0,0,0,0
1,1,18,0,0,-1.1,8.2,0,-1.1,0,0
1,1,19,0,0,-2.2,7.7,0,-2.2,0,0
1,1,20,0,0,-3.3,8.2,0,-3.3,0,0
1,1,21,0,0,-4.4,8.8,0,-4.4,0,0
1,1,22,0,0,-5.6,8.2,0,-5.6,0,0
1,1,23,0,0,-6.7,6.7,0,-6.7,0,0
1,2,0,0,0,-6.7,6.2,0,-6.7,0,0
1,2,1,0,0,-7.2,6.7,0,-7.2,0,0
1,2,2,0,0,-7.8,7.2,0,-7.8,0,0
1,2,3,0,0,-7.8,3.1,0,-7.8,0,0
1,2,4,0,0,-7.8,5.7,0,-7.8,0,0
1,2,5,0,0,-8.3,6.2,0,-8.3,0,0
1,2,6,0,0,-8.3,5.2,0,-8.3,0,0
1,2,7,68,18,-8.3,5.2,15.226,-9.464,380.373,234.292
1,2,8,405,52,-7.2,3.1,122.005,-6.05,2372.657,2187.006
1,2,9,601,73,-5.6,3.1,292.519,0.132,6344.2,6063.523
1,2,10,141,202,-4.4,2.6,284.159,1.992,6676.688,6387.08
1,2,11,17,184,-3.3,3.6,195.015,0.224,4674.031,4435.936
1,2,12,103,168,-1.7,2.6,252.922,3.536,5954.267,5683.872
1,2,13,500,128,-1.1,2.6,481.451,10.209,10911.668,10495.119
1,2,14,257,96,-1.1,1.5,269.714,6.956,6173.53,5897.378
1,2,15,152,54,-1.7,1.5,151.413,1.801,3492.481,3282.213
1,2,16,4,6,-1.7,1,7.27,-3.401,172.772,30.503
1,2,17,0,0,-1.7,0.5,0,-1.7,0,0
1,2,18,0,0,-1.7,0,0,-1.7,0,0
1,2,19,0,0,-1.7,1.5,0,-1.7,0,0
1,2,20,0,0,-1.1,3.1,0,-1.1,0,0
1,2,21,0,0,-0.6,3.1,0,-0.6,0,0
1,2,22,0,0,-0.6,3.1,0,-0.6,0,0
1,2,23,0,0,-0.6,5.2,0,-0.6,0,0
1,3,0,0,0,0,4.1,0,0,0,0
1,3,1,0,0,0,4.1,0,0,0,0
1,3,2,0,0,0.6,4.6,0,0.6,0,0
1,3,3,0,0,0.6,5.2,0,0.6,0,0
1,3,4,0,0,1.1,3.1,0,1.1,0,0
1,3,5,0,0,1.1,1.5,0,1.1,0,0
1,3,6,0,0,1.1,2.6,0,1.1,0,0
1,3,7,0,6,1.1,4.6,5.674,-0.34,136.513,0
1,3,8,6,70,1.7,5.2,67.422,1.562,1600.168,1430.502
1,3,9,4,161,1.7,5.7,159.629,3.348,3776.829,3560.038
1,3,10,1,162,2.2,4.1,160.418,4.416,3781.997,3565.087
1,3,11,7,110,2.2,3.6,110.523,3.409,2614.536,2423.712
1,3,12,3,106,2.8,4.1,104.776,3.682,2477.456,2289.574
1,3,13,5,91,3.3,4.6,91.679,3.84,2165.515,1984.23
1,3,14,2,68,3.3,1.5,67.634,3.368,1601.055,1431.371
1,3,15,2,34,3.3,2.6,34.16,2.379,810.986,656.811
1,3,16,0,5,3.9,3.1,4.849,2.213,115.425,0
1,3,17,0,0,5,4.1,0,5,0,0
1,3,18,0,0,5.6,4.6,0,5.6,0,0
1,3,19,0,0,5,5.2,0,5,0,0
1,3,20,0,0,4.4,7.2,0,4.4,0,0
1,3,21,0,0,4.4,5.7,0,4.4,0,0
1,3,22,0,0,3.9,6.2,0,3.9,0,0
1,3,23,0,0,3.3,7.2,0,3.3,0,0
1,4,0,0,0,2.8,7.7,0,2.8,0,0
1,4,1,0,0,1.7,7.7,0,1.7,0,0
1,4,2,0,0,1.7,7.2,0,1.7,0,0
1,4,3,0,0,1.1,6.2,0,1.1,0,0
1,4,4,0,0,1.1,7.2,0,1.1,0,0
1,4,5,0,0,0.6,7.2,0,0.6,0,0
1,4,6,0,0,0.6,4.6,0,0.6,0,0
1,4,7,19,10,3.3,7.2,9.36,2.293,222.718,79.537
1,4,8,16,59,0.6,10.3,59.147,0.433,1394.143,1228.603
1,4,9,4,96,0,9.8,93.65,0.303,2242.675,2059.771
1,4,10,55,125,0,10.8,152.302,1.013,3607.123,3394.238
1,4,11,220,190,0,7.2,337.326,4.312,7869.007,7546.133
1,4,12,771,89,0.6,11.3,615.332,7.163,14105.189,13576.747
1,4,13,758,54,0.6,10.8,560.809,6.875,12844.189,12361.591
1,4,14,490,70,0.6,10.8,384.846,4.708,8842.231,8490.768
1,4,15,304,36,0,9.3,205.635,2.047,4666.674,4428.758
1,4,16,25,6,-1.1,11.8,14.937,-1.653,334.251,189.021
1,4,17,0,0,-2.2,11.8,0,-2.2,0,0
1,4,18,0,0,-3.3,9.8,0,-3.3,0,0
1,4,19,0,0,-3.9,9.8,0,-3.9,0,0
1,4,20,0,0,-5,10.3,0,-5,0,0
1,4,21,0,0,-5.6,9.3,0,-5.6,0,0
1,4,22,0,0,-6.1,8.8,0,-6.1,0,0
1,4,23,0,0,-7.2,8.2,0,-7.2,0,0
1,5,0,0,0,-7.8,9.3,0,-7.8,0,0
1,5,1,0,0,-8.3,8.8,0,-8.3,0,0
1,5,2,0,0,-8.9,8.8,0,-8.9,0,0
1,5,3,0,0,-9.4,7.2,0,-9.4,0,0
1,5,4,0,0,-9.4,10.3,0,-9.4,0,0
1,5,5,0,0,-10,9.3,0,-10,0,0
1,5,6,0,0,-10,6.7,0,-10,0,0
1,5,7,239,13,-10,7.7,10.307,-10.953,259.038,115.191
1,5,8,648,28,-10,9.3,138.658,-9.137,2433.975,2247.021
1,5,9,797,38,-9.4,9.3,322.486,-6.003,7017.213,6718.302
1,5,10,866,44,-8.3,10.3,482.836,-3.024,11164.341,10739.446
1,5,11,897,47,-7.2,9.8,594.742,-0.182,13933.31,13411.244
1,5,12,892,47,-6.7,7.7,637.496,2.348,14891.648,14333.517
1,5,13,854,42,-5.6,7.2,603.082,3.38,14011.66,13486.692
1,5,14,762,34,-5,8.2,489.46,1.533,11339.161,10908.44
1,5,15,541,24,-5.6,7.7,293.355,-1.841,6687.968,6398.054
1,5,16,89,6,-6.7,5.7,38.369,-6.967,850.518,695.587
1,5,17,0,0,-7.2,5.7,0,-7.2,0,0
1,5,18,0,0,-7.8,6.2,0,-7.8,0,0
1,5,19,0,0,-8.3,6.7,0,-8.3,0,0
1,5,20,0,0,-8.9,6.2,0,-8.9,0,0
1,5,21,0,0,-8.9,6.7,0,-8.9,0,0
