Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC Solar Output (W)
1,1,0,0,0,1.7,6.2,0,1.7,0,0
1,1,1,0,0,1.7,5.7,0,1.7,0,0
1,1,2,0,0,1.1,6.2,0,1.1,0,0
1,1,3,0,0,1.1,5.7,0,1.1,0,0
1,1,4,0,0,1.1,5.7,0,1.1,0,0
1,1,5,0,0,1.1,6.7,0,1.1,0,0
1,1,6,0,0,0.6,7.7,0,0.6,0,0
1,1,7,1,10,0.6,8.2,9.859,-0.326,18.897,7.1
1,1,8,38,67,0.6,6.2,95.927,0.982,181.707,152.3
1,1,9,544,85,0,7.7,447.059,5.734,821.644,734.8
1,1,10,252,171,1.1,6.2,366.103,6.722,677.616,660.6
1,1,11,648,116,1.1,5.2,553.536,10.891,998.227,1062.3
1,1,12,688,93,2.2,5.7,499.415,10.729,890.461,1045.5
1,1,13,645,84,2.8,8.8,381.672,7.483,668.724,901.5
1,1,14,516,66,2.8,7.7,215.71,5.318,350.618,601.2
1,1,15,247,39,2.2,6.7,58.413,2.19,86.843,226.9
1,1,16,7,5,1.1,6.7,4.849,0.021,9.32,0
1,1,17,0,0,0,7.7,0,0,0,0
1,1,18,0,0,-1.1,8.2,0,-1.1,0,0
1,1,19,0,0,-2.2,7.7,0,-2.2,0,0
1,1,20,0,0,-3.3,8.2,0,-3.3,0,0
1,1,21,0,0,-4.4,8.8,0,-4.4,0,0
1,1,22,0,0,-5.6,8.2,0,-5.6,0,0
1,1,23,0,0,-6.7,6.7,0,-6.7,0,0
1,2,0,0,0,-6.7,6.2,0,-6.7,0,0
1,2,1,0,0,-7.2,6.7,0,-7.2,0,0
1,2,2,0,0,-7.8,7.2,0,-7.8,0,0
1,2,3,0,0,-7.8,3.1,0,-7.8,0,0
1,2,4,0,0,-7.8,5.7,0,-7.8,0,0
1,2,5,0,0,-8.3,6.2,0,-8.3,0,0
1,2,6,0,0,-8.3,5.2,0,-8.3,0,0
1,2,7,68,18,-8.3,5.2,54.587,-8.709,103.212,60.7
1,2,8,405,52,-7.2,3.1,288.998,-1.732,538.929,415.7
1,2,9,601,73,-5.6,3.1,468.083,4.932,862.332,770.2
1,2,10,141,202,-4.4,2.6,325.391,3.624,612.422,594.3
1,2,11,17,184,-3.3,3.6,197.295,0.383,378.147,368
1,2,12,103,168,-1.7,2.6,237.118,3.13,445.755,472.6
1,2,13,500,128,-1.1,2.6,362.418,7.106,643.591,827.9
1,2,14,257,96,-1.1,1.5,170.209,3.402,295.129,427.2
1,2,15,152,54,-1.7,1.5,64.245,-1.392,108.761,206.1
1,2,16,4,6,-1.7,1,5.819,-4.001,11.373,1.2
1,2,17,0,0,-1.7,0.5,0,-1.7,0,0
1,2,18,0,0,-1.7,0,0,-1.7,0,0
1,2,19,0,0,-1.7,1.5,0,-1.7,0,0
1,2,20,0,0,-1.1,3.1,0,-1.1,0,0
1,2,21,0,0,-0.6,3.1,0,-0.6,0,0
1,2,22,0,0,-0.6,3.1,0,-0.6,0,0
1,2,23,0,0,-0.6,5.2,0,-0.6,0,0
1,3,0,0,0,0,4.1,0,0,0,0
1,3,1,0,0,0,4.1,0,0,0,0
1,3,2,0,0,0.6,4.6,0,0.6,0,0
1,3,3,0,0,0.6,5.2,0,0.6,0,0
1,3,4,0,0,1.1,3.1,0,1.1,0,0
1,3,5,0,0,1.1,1.5,0,1.1,0,0
1,3,6,0,0,1.1,2.6,0,1.1,0,0
1,3,7,0,6,1.1,4.6,5.674,-0.343,10.921,0
1,3,8,6,70,1.7,5.2,78.259,1.772,149,128.9
1,3,9,4,161,1.7,5.7,179.917,3.733,340.265,315.2
1,3,10,1,162,2.2,4.1,166.958,4.605,314.671,298.1
1,3,11,7,110,2.2,3.6,111.089,3.439,210.249,197.2
1,3,12,3,106,2.8,4.1,103.882,3.664,196.479,184.2
1,3,13,5,91,3.3,4.6,89.43,3.792,168.828,158.5
1,3,14,2,68,3.3,1.5,65.372,3.287,123.702,113.5
1,3,15,2,34,3.3,2.6,32.361,2.325,61.39,51.4
1,3,16,0,5,3.9,3.1,4.849,2.208,9.234,0
1,3,17,0,0,5,4.1,0,5,0,0
1,3,18,0,0,5.6,4.6,0,5.6,0,0
1,3,19,0,0,5,5.2,0,5,0,0
1,3,20,0,0,4.4,7.2,0,4.4,0,0
1,3,21,0,0,4.4,5.7,0,4.4,0,0
1,3,22,0,0,3.9,6.2,0,3.9,0,0
1,3,23,0,0,3.3,7.2,0,3.3,0,0
1,4,0,0,0,2.8,7.7,0,2.8,0,0
1,4,1,0,0,1.7,7.7,0,1.7,0,0
1,4,2,0,0,1.7,7.2,0,1.7,0,0
1,4,3,0,0,1.1,6.2,0,1.1,0,0
1,4,4,0,0,1.1,7.2,0,1.1,0,0
1,4,5,0,0,0.6,7.2,0,0.6,0,0
1,4,6,0,0,0.6,4.6,0,0.6,0,0
1,4,7,19,10,3.3,7.2,18.842,2.443,34.362,15.7
1,4,8,16,59,0.6,10.3,73.182,0.614,139.495,117.5
1,4,9,4,96,0,9.8,98.658,0.377,189.204,172.6
1,4,10,55,125,0,10.8,166.189,1.184,316.488,301
1,4,11,220,190,0,7.2,349.337,4.516,652.933,671.2
1,4,12,771,89,0.6,11.3,545.902,6.352,992.212,1167.6
1,4,13,758,54,0.6,10.8,403.424,4.925,710.922,973.8
1,4,14,490,70,0.6,10.8,216.109,2.571,359.098,601.9
1,4,15,304,36,0,9.3,63.562,0.025,90.655,260.2
1,4,16,25,6,-1.1,11.8,5.819,-1.83,11.271,7.3
1,4,17,0,0,-2.2,11.8,0,-2.2,0,0
1,4,18,0,0,-3.3,9.8,0,-3.3,0,0
1,4,19,0,0,-3.9,9.8,0,-3.9,0,0
1,4,20,0,0,-5,10.3,0,-5,0,0
1,4,21,0,0,-5.6,9.3,0,-5.6,0,0
1,4,22,0,0,-6.1,8.8,0,-6.1,0,0
1,4,23,0,0,-7.2,8.2,0,-7.2,0,0
1,5,0,0,0,-7.8,9.3,0,-7.8,0,0
1,5,1,0,0,-8.3,8.8,0,-8.3,0,0
1,5,2,0,0,-8.9,8.8,0,-8.9,0,0
1,5,3,0,0,-9.4,7.2,0,-9.4,0,0
1,5,4,0,0,-9.4,10.3,0,-9.4,0,0
1,5,5,0,0,-10,9.3,0,-10,0,0
1,5,6,0,0,-10,6.7,0,-10,0,0
1,5,7,239,13,-10,7.7,121.903,-9.284,223.878,122.1
1,5,8,648,28,-10,9.3,374.976,-5.92,705.274,529.2
1,5,9,797,38,-9.4,9.3,536.15,-2.991,1018.151,901.2
1,5,10,866,44,-8.3,10.3,620.014,-1.183,1176.306,1153.7
1,5,11,897,47,-7.2,9.8,629.911,0.364,1185.176,1269.9
1,5,12,892,47,-6.7,7.7,563.907,1.27,1044.122,1235.5
1,5,13,854,42,-5.6,7.2,433.24,0.627,775.452,1062.9
1,5,14,762,34,-5,8.2,258.176,-1.966,418.689,765.5
1,5,15,541,24,-5.6,7.7,76.8,-5.325,92.898,364.8
1,5,16,89,6,-6.7,5.7,5.819,-7.868,11.555,27.2
1,5,17,0,0,-7.2,5.7,0,-7.2,0,0
1,5,18,0,0,-7.8,6.2,0,-7.8,0,0
1,5,19,0,0,-8.3,6.7,0,-8.3,0,0
1,5,20,0,0,-8.9,6.2,0,-8.9,0,0
1,5,21,0,0,-8.9,6.7,0,-8.9,0,0
1,5,22,0,0,-9.4,6.2,0,-9.4,0,0
1,5,23,0,0,-10,4.6,0,-10,0,0
