Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,1.7,6.2,0,1.7,0,0
1,1,1,0,0,1.7,5.7,0,1.7,0,0
1,1,2,0,0,1.1,6.2,0,1.1,0,0
1,1,3,0,0,1.1,5.7,0,1.1,0,0
1,1,4,0,0,1.1,5.7,0,1.1,0,0
1,1,5,0,0,1.1,6.7,0,1.1,0,0
1,1,6,0,0,0.6,7.7,0,0.6,0,0
1,1,7,1,10,0.6,8.2,9.467,-0.332,36.442,13.519
1,1,8,38,67,0.6,6.2,58.001,0.324,222.663,196.184
1,1,9,544,85,0,7.7,126.508,0.849,367.24,337.798
1,1,10,252,171,1.1,6.2,218.59,3.76,770.525,731.875
1,1,11,648,116,1.1,5.2,355.066,6.844,1217.604,1167.126
1,1,12,688,93,2.2,5.7,405.941,8.748,1414.767,1358.533
1,1,13,645,84,2.8,8.8,402.028,7.693,1420.45,1364.045
1,1,14,516,66,2.8,7.7,316.962,6.87,1117.549,1069.866
1,1,15,247,39,2.2,6.7,153.979,3.886,541.704,508.448
1,1,16,7,5,1.1,6.7,7.037,0.166,25.635,2.908
1,1,17,0,0,0,7.7,0,0,0,0
1,1,18,0,0,-1.1,8.2,0,-1.1,0,0
1,1,19,0,0,-2.2,7.7,0,-2.2,0,0
1,1,20,0,0,-3.3,8.2,0,-3.3,0,0
1,1,21,0,0,-4.4,8.8,0,-4.4,0,0
1,1,22,0,0,-5.6,8.2,0,-5.6,0,0
1,1,23,0,0,-6.7,6.7,0,-6.7,0,0
1,2,0,0,0,-6.7,6.2,0,-6.7,0,0
1,2,1,0,0,-7.2,6.7,0,-7.2,0,0
1,2,2,0,0,-7.8,7.2,0,-7.8,0,0
1,2,3,0,0,-7.8,3.1,0,-7.8,0,0
1,2,4,0,0,-7.8,5.7,0,-7.8,0,0
1,2,5,0,0,-8.3,6.2,0,-8.3,0,0
1,2,6,0,0,-8.3,5.2,0,-8.3,0,0
1,2,7,68,18,-8.3,5.2,15.226,-9.465,60.86,37.487
1,2,8,405,52,-7.2,3.1,39.177,-8.156,155.77,130.603
1,2,9,601,73,-5.6,3.1,121.424,-4.396,343.016,314.083
1,2,10,141,202,-4.4,2.6,216.967,-0.324,803.047,763.594
1,2,11,17,184,-3.3,3.6,180.156,-0.3,690.509,653.796
1,2,12,103,168,-1.7,2.6,213.979,2.469,800.496,761.107
1,2,13,500,128,-1.1,2.6,378.856,7.458,1352.798,1298.408
1,2,14,257,96,-1.1,1.5,227.128,5.212,821.235,781.329
1,2,15,152,54,-1.7,1.5,132.75,1.022,483.019,451.076
1,2,16,4,6,-1.7,1,7.074,-3.525,26.788,4.04
1,2,17,0,0,-1.7,0.5,0,-1.7,0,0
1,2,18,0,0,-1.7,0,0,-1.7,0,0
1,2,19,0,0,-1.7,1.5,0,-1.7,0,0
1,2,20,0,0,-1.1,3.1,0,-1.1,0,0
1,2,21,0,0,-0.6,3.1,0,-0.6,0,0
1,2,22,0,0,-0.6,3.1,0,-0.6,0,0
1,2,23,0,0,-0.6,5.2,0,-0.6,0,0
1,3,0,0,0,0,4.1,0,0,0,0
1,3,1,0,0,0,4.1,0,0,0,0
1,3,2,0,0,0.6,4.6,0,0.6,0,0
1,3,3,0,0,0.6,5.2,0,0.6,0,0
1,3,4,0,0,1.1,3.1,0,1.1,0,0
1,3,5,0,0,1.1,1.5,0,1.1,0,0
1,3,6,0,0,1.1,2.6,0,1.1,0,0
1,3,7,0,6,1.1,4.6,5.674,-0.34,21.842,0
1,3,8,6,70,1.7,5.2,62.08,1.459,237.184,210.416
1,3,9,4,161,1.7,5.7,139.942,2.981,530.369,497.369
1,3,10,1,162,2.2,4.1,149.831,4.14,565.728,531.927
1,3,11,7,110,2.2,3.6,106.931,3.297,404.183,373.955
1,3,12,3,106,2.8,4.1,102.549,3.625,387.817,357.938
1,3,13,5,91,3.3,4.6,89.732,3.796,338.857,310.011
1,3,14,2,68,3.3,1.5,66.663,3.329,252.424,225.35
1,3,15,2,34,3.3,2.6,33.774,2.366,128.215,103.577
1,3,16,0,5,3.9,3.1,4.849,2.212,18.468,0
1,3,17,0,0,5,4.1,0,5,0,0
1,3,18,0,0,5.6,4.6,0,5.6,0,0
1,3,19,0,0,5,5.2,0,5,0,0
1,3,20,0,0,4.4,7.2,0,4.4,0,0
1,3,21,0,0,4.4,5.7,0,4.4,0,0
1,3,22,0,0,3.9,6.2,0,3.9,0,0
1,3,23,0,0,3.3,7.2,0,3.3,0,0
1,4,0,0,0,2.8,7.7,0,2.8,0,0
1,4,1,0,0,1.7,7.7,0,1.7,0,0
1,4,2,0,0,1.7,7.2,0,1.7,0,0
1,4,3,0,0,1.1,6.2,0,1.1,0,0
1,4,4,0,0,1.1,7.2,0,1.1,0,0
1,4,5,0,0,0.6,7.2,0,0.6,0,0
1,4,6,0,0,0.6,4.6,0,0.6,0,0
1,4,7,19,10,3.3,7.2,9.36,2.293,35.635,12.726
1,4,8,16,59,0.6,10.3,52.267,0.347,200.634,174.591
1,4,9,4,96,0,9.8,88.812,0.236,340.209,311.335
1,4,10,55,125,0,10.8,129.971,0.741,485.604,453.604
1,4,11,220,190,0,7.2,262.998,3.115,960.701,917.229
1,4,12,771,89,0.6,11.3,440.593,5.065,1558.201,1497.571
1,4,13,758,54,0.6,10.8,424.041,5.112,1507.391,1448.337
1,4,14,490,70,0.6,10.8,312.271,3.748,1119.543,1071.806
1,4,15,304,36,0,9.3,175.108,1.586,619.249,584.216
1,4,16,25,6,-1.1,11.8,13.725,-1.683,48.151,25.013
1,4,17,0,0,-2.2,11.8,0,-2.2,0,0
1,4,18,0,0,-3.3,9.8,0,-3.3,0,0
1,4,19,0,0,-3.9,9.8,0,-3.9,0,0
1,4,20,0,0,-5,10.3,0,-5,0,0
1,4,21,0,0,-5.6,9.3,0,-5.6,0,0
1,4,22,0,0,-6.1,8.8,0,-6.1,0,0
1,4,23,0,0,-7.2,8.2,0,-7.2,0,0
1,5,0,0,0,-7.8,9.3,0,-7.8,0,0
1,5,1,0,0,-8.3,8.8,0,-8.3,0,0
1,5,2,0,0,-8.9,8.8,0,-8.9,0,0
1,5,3,0,0,-9.4,7.2,0,-9.4,0,0
1,5,4,0,0,-9.4,10.3,0,-9.4,0,0
1,5,5,0,0,-10,9.3,0,-10,0,0
1,5,6,0,0,-10,6.7,0,-10,0,0
1,5,7,239,13,-10,7.7,10.307,-10.954,41.446,18.431
1,5,8,648,28,-10,9.3,23.426,-10.664,94.093,70.1
1,5,9,797,38,-9.4,9.3,116.951,-8.815,287.494,259.709
1,5,10,866,44,-8.3,10.3,263.734,-5.874,837.138,796.834
1,5,11,897,47,-7.2,9.8,382.387,-3.063,1334.191,1280.349
1,5,12,892,47,-6.7,7.7,450.368,-0.677,1618.899,1556.355
1,5,13,854,42,-5.6,7.2,454.931,0.852,1642.675,1579.373
1,5,14,762,34,-5,8.2,389.775,-0.04,1401.446,1345.611
1,5,15,541,24,-5.6,7.7,246.769,-2.638,870.303,829.161
1,5,16,89,6,-6.7,5.7,34.085,-7.111,116.873,92.45
1,5,17,0,0,-7.2,5.7,0,-7.2,0,0
1,5,18,0,0,-7.8,6.2,0,-7.8,0,0
1,5,19,0,0,-8.3,6.7,0,-8.3,0,0
1,5,20,0,0,-8.9,6.2,0,-8.9,0,0
1,5,21,0,0,-8.9,6.7,0,-8.9,0,0
1,5,22,0,0,-9.4,6.2,0,-9.4,0,0
