Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,8.3,4.6,0,8.3,0,0
1,1,1,0,0,6.1,4.6,0,6.1,0,0
1,1,2,0,0,7.8,6.2,0,7.8,0,0
1,1,3,0,0,7.2,5.2,0,7.2,0,0
1,1,4,0,0,7.8,7.7,0,7.8,0,0
1,1,5,0,0,7.2,3.6,0,7.2,0,0
1,1,6,0,0,7.2,5.7,0,7.2,0,0
1,1,7,0,13,8.3,3.6,12.284,6.848,68.793,34.148
1,1,8,0,62,9.4,6.2,60.029,9.216,332.728,293.036
1,1,9,0,60,10.6,6.2,56.857,10.433,313.471,274.16
1,1,10,183,228,10.6,6.2,388.973,16.188,2083.154,1999.969
1,1,11,664,206,11.1,5.7,724.025,23.521,3736.495,3596.247
1,1,12,115,262,12.2,7.7,346.985,17.105,1849.928,1773.544
1,1,13,25,228,12.2,9.8,237.146,14.63,1280.405,1219.327
1,1,14,65,173,11.1,8.2,194.282,13.124,1043.688,988.429
1,1,15,315,143,11.1,8.2,195.456,13.104,956.191,903.003
1,1,16,136,16,10,7.7,11.576,9.292,64.14,29.581
1,1,17,0,0,9.4,8.8,0,9.4,0,0
1,1,18,0,0,9.4,7.2,0,9.4,0,0
1,1,19,0,0,8.9,6.7,0,8.9,0,0
1,1,20,0,0,8.9,6.7,0,8.9,0,0
1,1,21,0,0,8.9,8.2,0,8.9,0,0
1,1,22,0,0,8.9,6.2,0,8.9,0,0
1,1,23,0,0,8.9,7.7,0,8.9,0,0
1,2,0,0,0,8.3,5.7,0,8.3,0,0
1,2,1,0,0,8.9,7.7,0,8.9,0,0
1,2,2,0,0,8.3,7.7,0,8.3,0,0
1,2,3,0,0,7.8,7.2,0,7.8,0,0
1,2,4,0,0,7.2,6.2,0,7.2,0,0
1,2,5,0,0,7.2,5.7,0,7.2,0,0
1,2,6,0,0,7.2,5.2,0,7.2,0,0
1,2,7,0,11,7.8,3.6,10.39,6.325,58.318,23.866
1,2,8,0,78,8.9,7.2,78.385,9.024,434.839,393.087
1,2,9,0,116,9.4,7.2,114.501,10.17,632.006,586.111
1,2,10,0,133,10,7.7,129.596,11.006,712.7,665.045
1,2,11,185,251,10.6,7.2,407.798,16.074,2185.244,2098.986
