Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,8.3,4.6,0,8.3,0,0
1,1,1,0,0,6.1,4.6,0,6.1,0,0
1,1,2,0,0,7.8,6.2,0,7.8,0,0
1,1,3,0,0,7.2,5.2,0,7.2,0,0
1,1,4,0,0,7.8,7.7,0,7.8,0,0
1,1,5,0,0,7.2,3.6,0,7.2,0,0
1,1,6,0,0,7.2,5.7,0,7.2,0,0
1,1,7,0,13,8.3,3.6,12.284,6.848,22.931,11.383
1,1,8,0,62,9.4,6.2,57.861,9.179,106.922,93.77
1,1,9,0,60,10.6,6.2,56.857,10.43,104.492,91.388
1,1,10,183,228,10.6,6.2,268.322,14.097,469.033,447.592
1,1,11,664,206,11.1,5.7,507.131,19.422,857.903,825.071
1,1,12,115,262,12.2,7.7,318.797,16.47,565.696,541.664
1,1,13,25,228,12.2,9.8,238.87,14.633,429.995,409.555
1,1,14,65,173,11.1,8.2,217.71,13.467,392.159,372.664
1,1,15,315,143,11.1,8.2,327.566,15.051,572.265,548.051
1,1,16,136,16,10,7.7,84.42,10.523,143.807,129.913
1,1,17,0,0,9.4,8.8,0,9.4,0,0
1,1,18,0,0,9.4,7.2,0,9.4,0,0
1,1,19,0,0,8.9,6.7,0,8.9,0,0
1,1,20,0,0,8.9,6.7,0,8.9,0,0
1,1,21,0,0,8.9,8.2,0,8.9,0,0
1,1,22,0,0,8.9,6.2,0,8.9,0,0
1,1,23,0,0,8.9,7.7,0,8.9,0,0
1,2,0,0,0,8.3,5.7,0,8.3,0,0
1,2,1,0,0,8.9,7.7,0,8.9,0,0
1,2,2,0,0,8.3,7.7,0,8.3,0,0
1,2,3,0,0,7.8,7.2,0,7.8,0,0
1,2,4,0,0,7.2,6.2,0,7.2,0,0
1,2,5,0,0,7.2,5.7,0,7.2,0,0
1,2,6,0,0,7.2,5.2,0,7.2,0,0
1,2,7,0,11,7.8,3.6,10.39,6.504,19.424,7.941
1,2,8,0,78,8.9,7.2,70.816,8.904,131.018,117.384
1,2,9,0,116,9.4,7.2,107.385,10.049,197.681,182.662
1,2,10,0,133,10,7.7,124.854,10.927,228.953,213.257
1,2,11,185,251,10.6,7.2,324.058,14.745,573.665,549.413
1,2,12,73,252,10.6,7.2,285.979,14.349,513.559,490.945
